"見積ＮＯ","登録担当者","登録日","更新日","件名名称","サイクル区分","提出先名称","施主名","設計監理名","建設工事名","電気工事名","見積金額","代理店渡金額","卸金額","標準金額","件名ＮＯ","仕様区分","注文ＮＯ","明細ＮＯ","公共記号","承認図作成日１","承認図作成日２","承認図作成日３","承認図作成日４","代理店名","ダウンロード日付","ダウンロード時刻","営業所名","営業所担当者名","得意先担当者名","得意先電話番号","営業所電話番号","枝ＮＯ","プラン宛名","提案日","商談ＮＯ"
"U57MSU","KA","20241211","","（仮称）葛飾区奥戸ＰＪ新築工事","B","","","","","","29843460","16877440","20643380","29843460","","2","M100A","","","0","0","0","0","岡田電気産業（株）　本社","20241211","084431","福島電材営業所","野中　秀行","秋元","0246-25-6111","024-939-7731","1","（仮称）葛飾区奥戸ＰＪ新築工事","",""
"見積ＮＯ","行ＮＯ","挿入行ＮＯ","まとめ１","まとめ２","照会記号","メーカーコード","インプット品番","品名","数量","見積単価","代理店渡単価","卸単価","標準単価","摘要","在庫区分","ランプ品番１","ランプ組込数１","ランプ品番２","ランプ組込数２","電圧","品番種別","仕様ＮＯ","加工元品番","図面番号","注文ＮＯ","明細ＮＯ","スタイル品番","起動方式","ランプ指定コード","フロア","フロア名","部位","部位名","摘","Ｇ","納問","枝ＮＯ","ＥＤＰ品番","ＥＤＩＴ品番","器具スタイル","カタログＮＯ","カタログページ","使用ランプ","消費電力","点灯時間","省エネ補正係数","省エネ比較品番","省エネ比較対象消費電力","省エネ比較対象補正係数","ランプ別梱別売区分","明細表示区分","価格グループコード","価格グループ名称","価格グループまとめコード","価格グループまとめ名称","組込数","商談ＮＯ","リベート有無区分","","仕入単価"
"U57MSU","1","0","0","0","A","MEW","XFX460AENLE9","ｉＤ６９００Ｄ－Ｗ１５０昼白色","13","33050","18840","23120","33050","後継品","","","0","","0","100-242","X","","","","","","XFX460AEN","LE9","","","","","","","L","納問","1","XFX460AENLE9","XFX460AENLE9","ベースライト","","","LED（昼白色）","43.1","","","","","","","0","","","","","0","","","","7271"
"U57MSU","4","0","0","0","B","MEW","XFX420AENLE9","ｉＤ２５００Ｄ－Ｗ１５０昼白色","7","23250","13260","16270","23250","後継品","","","0","","0","100-242","X","","","","","","XFX420AEN","LE9","","","","","","","L","納問","1","XFX420AENLE9","XFX420AENLE9","ベースライト","","","LED（昼白色）","16.3","","","","","","","0","","","","","0","","","","5115"
"U57MSU","7","0","0","0","C","MEW","XFX410AENLE9","ｉＤ２０００Ｄ－Ｗ１５０昼白色","6","21750","12400","15220","21750","後継品","","","0","","0","100-242","X","","","","","","XFX410AEN","LE9","","","","","","","L","納問","1","XFX410AENLE9","XFX410AENLE9","ベースライト","","","LED（昼白色）","13.1","","","","","","","0","","","","","0","","","","4785"
"U57MSU","10","0","0","0","D","MEW","NNF41502LR9","ｓＢ低光束Ｌ１５００白３５Ｋ調光","21","44800","25600","31400","44800","","3","","0","","0","100-242","","","","K7","","","NNF41502","LR9","","","","","","","L","納問","1","NNF41502LR9","NNF41502LR9","ベースライト","A308","45","LED（温白色）","26.8","","1","FLR40形2灯相当","85","1","","0","S5L18","Ｌ：施設（用途別）","S5L#3","Ｌ：ＬＥＤ照明（一般Ｌ３）","0","","","","9856"
"U57MSU","11","0","0","0","E1","MEW","NNFW42500KLE9","ＬＤＬ４０Ｘ２業務用浴室灯","10","102200","58200","71400","102200","","3","","0","","0","100-242","","","","K5","","","NNFW42500K","LE9",",","","","","","","L","","1","NNFW42500KLE9","NNFW42500KLE9","ベースライト","A308","409","","44","","","","","","2","0","S5L15","Ｌ：施設（用途別）","S5L#3","Ｌ：ＬＥＤ照明（一般Ｌ３）","1","","","","22484"
"U57MSU","12","0","0","0","E1","MEW","LDL40SN2938K","直管ＬＥＤ４０形３８００タイプ昼白色","20","18000","11210","12600","18000","","3","","0","","0","0","","","","","","","LDL40SN2938K","","","","","","","","L","","1","LDL40SN2938K","LDL40SN2938K-X","","","","","","","","","","","Y","0","S5L11","Ｌ：直管形ＬＥＤランプ","S5L#3","Ｌ：ＬＥＤ照明（一般Ｌ３）","2","","","","3960"
"U57MSU","13","0","0","0","F","MEW","LGC37113","埋込シーリングライト８畳用調色","24","65000","34900","42300","65000","","2","","0","","0","0","","","","K","","","LGC37113","","","","","","","","E","","1","LGC37113","LGC37113","シーリングライト","A307","598","LED（昼光色6500K・Ra83／電球色2700K・Ra83）","41.3","","0.75","一般安定器20形×5灯","105","1","","0","S2E10","Ｅ：住宅ＬＥＤ照明","S2E#1","Ｅ：住宅ＬＥＤ照明","0","","","","20800"
"U57MSU","14","0","0","0","G","MEW","LGC51104K","ＬＥＤシーリングライト１２畳用調色","86","34500","18500","22400","34500","","2","","0","","0","0","","","","K","","","LGC51104K","","","","","","","","E","32","1","LGC51104K","LGC51104K","シーリングライト","A307","587","LED（昼光色6500K・Ra83／電球色2700K・Ra83）","41.3","","0.75","一般安定器20形×4灯　×2台","168","1","","0","S2E10","Ｅ：住宅ＬＥＤ照明","S2E#1","Ｅ：住宅ＬＥＤ照明","0","","","","11040"
"U57MSU","15","0","0","0","H","MEW","XLY120HLLJ9","ＣＳＬＩＭ高出力Ｌ１２００調光３０００Ｋ","4","37000","21080","25880","37000","","","","0","","0","100-242","X","","","K5","","","XLY120HL","LJ9","","","","","","","V","納問","1","XLY120HLLJ9","XLY120HLLJ9","建築化照明","A308","331","LED（電球色）","22","","1","FRT1250形×1灯器具相当","44","1","","0","","","","","0","","","","13320"
"U57MSU","18","0","0","0","","MEW","NNFK99011","ＣＳＬＩＭ入線処理用ジョイント金具","4","2200","1240","1540","2200","","3","","0","","0","0","","","","K2","","","NNFK99011","","","","","","","","V","","1","NNFK99011","NNFK99011","他照明器具付属品","A308","335","","","","","","","","","0","S5V31","Ｖ：店舗照明（ＴＯＬＳＯ）","S5V#2","Ｖ：ＬＥＤ照明（高機能Ｖ２）","0","","","","792"
